icao24,origin_country,velocity,on_ground
489228,Poland,233.29,False
4bb109,Turkey,173.42,False
a1f48f,United States,63.39,False
4bb103,Turkey,228.33,False
a3a9a3,United States,192.53,False
4bb10a,Turkey,252.54,False
a37af8,United States,214.28,False
a83782,United States,264.32,False
aa1be0,United States,138.3,False
c06f8a,Canada,78.51,False
84620d,Japan,46.31,False
a239e0,United States,260.75,False
c05c0e,Canada,7.2,True
a4418d,United States,202.05,False
a359c2,United States,251.65,False
4bb189,Turkey,203.55,False
4bb182,Turkey,278.02,False
a4fddb,United States,14.92,True
a63df3,United States,264.88,False
a106b3,United States,96.18,False
4bb154,Turkey,166.92,False
4bb152,Turkey,247.36,False
ab07a2,United States,202.49,False
4bb14f,Turkey,219.03,False
a01c37,United States,206.29,False
a50adc,United States,4.12,True
a213bd,United States,155.24,False
a1f3c5,United States,193.79,False
4bb19a,Turkey,121.98,False
a4b6b6,United States,281.92,False
a3df50,United States,182.54,False
a13c73,United States,197.64,False
a333ae,United States,191.62,False
ac2813,United States,146.19,False
a609d4,United States,185.91,False
a070d7,United States,219.59,False
a3df4a,United States,7.46,True
a3a9ff,United States,212.92,False
781ca8,China,188.95,False
ad4804,United States,111.73,False
a37c1c,United States,183.93,False
a1f3a1,United States,44.74,False
781caa,China,250.75,False
4bb195,Turkey,247.78,False
ab084e,United States,3.6,True
a62c1a,United States,124.89,False
4bb18f,Turkey,88.49,False
4bb18a,Turkey,248.17,False
a599a8,United States,136.49,False
8007df,India,270.33,False
a466fc,United States,193.8,False
ab3bab,United States,62.8,False
ac2859,United States,181.1,False
7c7777,Australia,221.11,False
7c7776,Australia,198.91,False
ac5bb0,United States,244.42,False
a51f0f,United States,2.31,True
68332b,Kazakhstan,232.07,False
ad8ed4,United States,6.43,True
68332a,Kazakhstan,263.58,False
a190d1,United States,50.42,False
a25c6e,United States,237.57,False
a98ac9,United States,26.08,False
846250,Japan,234.36,False
8007ca,India,196.1,False
ac1547,United States,227.15,False
a81163,United States,217.28,False
a200ba,United States,72.54,False
e0658e,Argentina,246.95,False
acbf63,United States,273.68,False
acbf60,United States,219.16,False
a8bc34,United States,143.27,False
c80d98,New Zealand,76.25,False
abf3b8,United States,260.69,False
c06de0,Canada,39.07,False
a6f6dd,United States,240.29,False
a09852,United States,189.62,False
a560f4,United States,92.43,False
a8cf70,United States,80.77,False
aa70b1,United States,283.29,False
ac13f9,United States,0.0,True
a320e5,United States,281.68,False
a320f5,United States,46.82,False
6831e4,Kazakhstan,229.96,False
a836fb,United States,276.04,False
aa1c45,United States,226.4,False
7c7701,Australia,124.01,False
896453,United Arab Emirates,229.63,False
896457,United Arab Emirates,3.6,True
a01be7,United States,89.18,False
aa83a0,United States,43.69,False
ac00f6,United States,172.56,False
a5d6f9,United States,208.94,False
adcc76,United States,53.51,False
a63f8b,United States,0.0,True
aa8510,United States,99.26,False
aaf9c1,United States,251.47,False
8a06f0,Indonesia,221.51,False
ab19df,United States,211.8,False
a0c20f,United States,202.38,False
a1087a,United States,225.51,False
780b22,China,177.48,False
a2bec7,United States,221.54,False
a9dc5e,United States,169.28,False
ac6f31,United States,6.43,True
750109,Malaysia,105.79,False
780b2b,China,239.42,False
ad46a1,United States,73.14,False
addf01,United States,218.33,False
406814,United Kingdom,252.43,False
e06554,Argentina,69.12,False
800879,India,7.2,True
aae6d5,United States,302.62,False
a44238,United States,179.98,False
a3489f,United States,75.17,False
a1f595,United States,219.96,False
ac13b3,United States,252.48,False
a1e23a,United States,198.51,False
068094,Uganda,81.39,False
a1e241,United States,154.38,False
ac252a,United States,208.4,False
3965a3,France,302.22,False
3965a1,France,224.83,False
840caf,Japan,187.36,False
3965a4,France,283.14,False
3965a8,France,223.58,False
a71435,United States,49.4,False
3462c9,Spain,287.53,False
3462c8,Spain,254.78,False
4bb025,Turkey,216.3,False
3965b3,France,235.48,False
a95411,United States,235.47,False
840cd8,Japan,219.34,False
a38ad5,United States,179.46,False
ac121a,United States,217.12,False
c023c8,Canada,244.29,False
aa2bc1,United States,224.35,False
a3311b,United States,171.75,False
a4b470,United States,300.36,False
a75ac7,United States,244.57,False
ad9edf,United States,208.9,False
a0d149,United States,63.71,False
485ecd,Kingdom of the Netherlands,298.26,False
a4c79f,United States,6.69,True
c023b7,Canada,200.76,False
a009a4,United States,87.09,False
a3576b,United States,210.6,False
a2bab6,United States,174.63,False
aa2ba5,United States,247.5,False
683268,Kazakhstan,238.21,False
a0817f,United States,194.65,False
3475d3,Spain,257.63,False
aa2ba1,United States,242.61,False
aa2ba4,United States,3.09,True
a5c127,United States,200.23,False
781f04,China,196.74,False
a4c72a,United States,40.18,False
a60732,United States,105.93,False
a27f07,United States,259.82,False
